movieId,title,genres,release_year,primary_genre,secondary_genre,imdbId,tmdbId,movielens_url,imdb_url,tmdb_url,average_rating,consolidated_tags
1,Toy Story,Adventure Animation Children Comedy Fantasy,1995,Fantasy,Comedy,114709,862,https://movielens.org/movies/1,http://www.imdb.com/title/tt0114709/,https://www.themoviedb.org/movie/862,3.92,pixar fun
2,Jumanji,Adventure Children Fantasy,1995,Fantasy,Children,113497,8844,https://movielens.org/movies/2,http://www.imdb.com/title/tt0113497/,https://www.themoviedb.org/movie/8844,3.43,fantasy magic board game Robin Williams game
3,Grumpier Old Men,Comedy Romance,1995,Romance,Comedy,113228,15602,https://movielens.org/movies/3,http://www.imdb.com/title/tt0113228/,https://www.themoviedb.org/movie/15602,3.26,moldy old
4,Waiting to Exhale,Comedy Drama Romance,1995,Romance,Drama,114885,31357,https://movielens.org/movies/4,http://www.imdb.com/title/tt0114885/,https://www.themoviedb.org/movie/31357,2.36,
5,Father of the Bride Part II,Comedy,1995,Comedy,N/A,113041,11862,https://movielens.org/movies/5,http://www.imdb.com/title/tt0113041/,https://www.themoviedb.org/movie/11862,3.07,pregnancy remake
6,Heat,Action Crime Thriller,1995,Thriller,Crime,113277,949,https://movielens.org/movies/6,http://www.imdb.com/title/tt0113277/,https://www.themoviedb.org/movie/949,3.95,
7,Sabrina,Comedy Romance,1995,Romance,Comedy,114319,11860,https://movielens.org/movies/7,http://www.imdb.com/title/tt0114319/,https://www.themoviedb.org/movie/11860,3.19,remake
8,Tom and Huck,Adventure Children,1995,Children,Adventure,112302,45325,https://movielens.org/movies/8,http://www.imdb.com/title/tt0112302/,https://www.themoviedb.org/movie/45325,2.88,
9,Sudden Death,Action,1995,Action,N/A,114576,9091,https://movielens.org/movies/9,http://www.imdb.com/title/tt0114576/,https://www.themoviedb.org/movie/9091,3.12,
10,GoldenEye,Action Adventure Thriller,1995,Thriller,Adventure,113189,710,https://movielens.org/movies/10,http://www.imdb.com/title/tt0113189/,https://www.themoviedb.org/movie/710,3.5,
11,The American President,Comedy Drama Romance,1995,Romance,Drama,112346,9087,https://movielens.org/movies/11,http://www.imdb.com/title/tt0112346/,https://www.themoviedb.org/movie/9087,3.67,politics president
12,Dracula: Dead and Loving It,Comedy Horror,1995,Horror,Comedy,112896,12110,https://movielens.org/movies/12,http://www.imdb.com/title/tt0112896/,https://www.themoviedb.org/movie/12110,2.42,
